"id","lat","lon","nombre"
0,-34.6144934119689,-58.4458563545429,"Ciudad de Buenos Aires"
1,-31.4135000,-64.1810500,"Córdoba"
2,-27.4806000,-58.8341000,"Corrientes"
3,-26.1775300,-58.1781400,"Formosa"
4,-34.9214500,-57.9545300,"La Plata"
5,-29.4110500,-66.8506700,"La Rioja"
6,-32.8908400,-68.8271700,"Mendoza"
7,-38.9516100,-68.0591000,"Neuquén"
8,-31.7319700,-60.5238000,"Paraná"
9,-27.3670800,-55.8960800,"Posadas"
10,-43.3001600,-65.1022800,"Rawson"
11,-27.46056, -58.98389,"Resistencia"
12,-51.6226100,-69.2181300,"Río Gallegos"
13,-28.46957,-65.78524,"San Fernando del Valle de Catamarca"
14,-26.8241400,-65.2226000,"San Miguel de Tucumán"
15,-24.1945700,-65.2971200,"San Salvador de Jujuy"
16,-24.7859000,-65.4116600,"Salta"
17,-31.5375000,-68.5363900,"San Juan"
18,-33.2950100,-66.3356300,"San Luis"
19,-31.6333300,-60.7000000,"Santa Fe"
20,-36.6166700,-64.2833300,"Santa Rosa"
21,-27.7951100,-64.2614900,"Santiago del Estero"
22,-54.8000000,-68.3000000,"Ushuaia"
23,-40.8134500,-62.9966800,"Viedma"
















